CID	Type	N	Vg_Vp	Vg_Vp_SE	Pval	LRT	logL	logL0	Vg	Ve	Vp	Vg_SE	Ve_SE	Vp_SE
C100002106	single_GRM	7050	0.27405	0.056582	2.4916e-07	25.27	-3494.001	-3506.637	0.272622	0.722166	0.994788	0.056932	0.056399	0.01684
C100002107	single_GRM	7050	0.212526	0.055818	4.1523e-05	15.488	-3513.928	-3521.672	0.212266	0.78651	0.998776	0.056151	0.056269	0.016878
C100002113	single_GRM	6216	0.136598	0.062001	0.013247	4.923	-3123.065	-3125.527	0.137268	0.867641	1.004909	0.062486	0.063413	0.018053
C100002122	single_GRM	7025	0.156204	0.054363	0.00082271	9.908	-3481.264	-3486.218	0.154925	0.83689	0.991815	0.05414	0.054906	0.016767
C100002126	single_GRM	7051	0.585616	0.05562	0	122.686	-3482.856	-3544.199	0.588649	0.416531	1.005179	0.058654	0.055012	0.017239
C100002128	single_GRM	4555	0.259122	0.08173	0.00071884	10.157	-2286.64	-2291.719	0.260752	0.745536	1.006288	0.082935	0.08228	0.02118
C100002129	single_GRM	6918	0.476754	0.057417	0	77.381	-3426.66	-3465.35	0.47753	0.524099	1.001629	0.059352	0.056806	0.017243
C100002135	single_GRM	2136	0.037202	0.13553	0.38828	0.081	-1096.858	-1096.898	0.038102	0.986093	1.024195	0.138818	0.141947	0.031347
C100002137	single_GRM	589	1e-06	0.292029	0.5	0	-293.079	-293.079	1e-06	0.986138	0.986139	0.287982	0.294826	0.057526
C100002152	single_GRM	6689	0.555257	0.058121	0	101.289	-3316.091	-3366.735	0.558845	0.447616	1.006461	0.061002	0.05763	0.017683
C100002154	single_GRM	7038	0.214526	0.054253	4.8145e-06	19.584	-3546.272	-3556.063	0.216614	0.793119	1.009733	0.055186	0.055376	0.017074
C100002171	single_GRM	6443	0.124694	0.058964	0.014347	4.786	-3204.934	-3207.327	0.124058	0.870843	0.994901	0.058818	0.059863	0.017554
C100002173	single_GRM	7053	0.040321	0.052611	0.215	0.623	-3485.548	-3485.859	0.03982	0.947767	0.987588	0.051979	0.053975	0.016637
C100002183	single_GRM	3393	1e-06	0.101691	0.5	0	-1750.488	-1750.488	1e-06	1.030178	1.030179	0.10476	0.107781	0.025015
C100002185	single_GRM	6116	0.085656	0.06081	0.075351	2.065	-3069.936	-3070.968	0.085934	0.917301	1.003235	0.061083	0.062647	0.018155
C100002196	single_GRM	6945	1e-06	0.047373	0.5	0	-3494.245	-3494.245	1e-06	1.005135	1.005136	0.047616	0.050403	0.017059
C100002199	single_GRM	7046	0.085596	0.054618	0.056626	2.508	-3510.541	-3511.795	0.085258	0.910788	0.996046	0.054478	0.055938	0.016796
C100002204	single_GRM	4753	0.147169	0.073019	0.012065	5.085	-2362.282	-2364.824	0.146162	0.846998	0.99316	0.07269	0.073963	0.020388
C100002227	single_GRM	4764	0.110921	0.077152	0.076856	2.035	-2387.205	-2388.223	0.111076	0.890326	1.001402	0.07739	0.078636	0.020539
C100002241	single_GRM	2295	0.159507	0.130282	0.088867	1.816	-1140.922	-1141.831	0.158249	0.833862	0.992111	0.129514	0.130671	0.029315
C100002249	single_GRM	1433	0.250676	0.184661	0.069191	2.196	-704.246	-705.344	0.245783	0.7347	0.980483	0.181837	0.181509	0.036707
C100002253	single_GRM	6606	0.109674	0.055695	0.015338	4.671	-3317.983	-3320.318	0.110149	0.894178	1.004327	0.056053	0.057396	0.017494
C100002259	single_GRM	7055	0.261169	0.055904	3.8878e-07	24.413	-3516.565	-3528.771	0.261193	0.738901	1.000094	0.056499	0.056125	0.016916
C100002284	single_GRM	7051	0.210244	0.049137	1.4875e-09	35.2	-3459.586	-3477.186	0.206734	0.77657	0.983304	0.048685	0.049173	0.016602
C100002293	single_GRM	6239	0.248774	0.060186	1.0541e-06	22.494	-3058.407	-3069.654	0.244505	0.738335	0.98284	0.059679	0.059537	0.01766
C100002356	single_GRM	7053	0.083086	0.054326	0.0575	2.484	-3549.325	-3550.567	0.083588	0.922457	1.006046	0.054728	0.056236	0.016955
C100002367	single_GRM	7053	0.22845	0.053322	2.5879e-07	25.197	-3471.648	-3484.247	0.225444	0.761398	0.986842	0.053065	0.053149	0.016674
C100002397	single_GRM	7048	0.185195	0.05552	0.00027418	11.944	-3532.258	-3538.23	0.185867	0.817764	1.003631	0.056033	0.056445	0.016951
C100002405	single_GRM	431	0.184742	0.408133	0.33174	0.189	-215.713	-215.808	0.182852	0.806914	0.989766	0.404571	0.405839	0.06754
C100002417	single_GRM	6947	0.136973	0.053567	0.0022848	8.042	-3502.388	-3506.409	0.138161	0.870518	1.00868	0.054209	0.055246	0.017141
C100002458	single_GRM	7050	0.165978	0.054877	0.00040962	11.197	-3517.585	-3523.184	0.165776	0.833004	0.998779	0.055062	0.055697	0.016859
C100002462	single_GRM	5624	0.154639	0.06645	0.0086438	5.667	-2824.906	-2827.739	0.155354	0.849268	1.004622	0.066979	0.067815	0.018974
C100002466	single_GRM	7055	0.159489	0.056109	0.0022344	8.083	-3596.724	-3600.766	0.162773	0.85782	1.020593	0.057507	0.058158	0.017221
C100002488	single_GRM	7023	0.180892	0.054885	0.00021099	12.432	-3589.579	-3595.796	0.185183	0.838539	1.023722	0.056491	0.056989	0.017319
C100002500	single_GRM	5658	0.153078	0.064778	0.0058445	6.357	-2781.588	-2784.766	0.150559	0.832986	0.983545	0.063934	0.064757	0.018522
C100002514	single_GRM	6336	0.214353	0.060976	0.0001588	12.964	-3089.967	-3096.448	0.209464	0.767727	0.977191	0.059987	0.060106	0.017414
C100002528	single_GRM	7055	0.202009	0.053893	5.433e-06	19.353	-3503.419	-3513.096	0.200969	0.793879	0.994848	0.053973	0.054294	0.016798
C100002537	single_GRM	6703	0.202442	0.058205	0.00019822	12.549	-3318.943	-3325.217	0.200796	0.791074	0.99187	0.0581	0.058316	0.017184
C100002544	single_GRM	5357	0.062615	0.066105	0.16158	0.976	-2657.008	-2657.496	0.06205	0.928932	0.990982	0.065556	0.067412	0.019158
C100002568	single_GRM	3087	0.042668	0.104227	0.34108	0.168	-1529.622	-1529.706	0.04219	0.946612	0.988802	0.103073	0.105687	0.025173
C100002679	single_GRM	6946	0.105281	0.054277	0.0187	4.332	-3401.724	-3403.89	0.103122	0.876369	0.97949	0.05327	0.054568	0.016638
C100002717	single_GRM	1392	0.440231	0.19985	0.012265	5.057	-703.91	-706.438	0.445489	0.566455	1.011944	0.204658	0.201195	0.038571
C100002719	single_GRM	1156	0.557452	0.237124	0.0083344	5.731	-583.925	-586.791	0.564782	0.448367	1.013149	0.244517	0.238478	0.042535
C100002734	single_GRM	659	0.096517	0.327233	0.3878	0.081	-330.968	-331.008	0.096201	0.900521	0.996722	0.326446	0.327667	0.055009
C100002749	single_GRM	7054	0.240084	0.051377	1.9078e-10	39.205	-3513.438	-3533.041	0.23979	0.758984	0.998774	0.0518	0.05187	0.016875
C100002751	single_GRM	1214	0.208581	0.219892	0.17488	0.874	-617.048	-617.485	0.211005	0.800616	1.011621	0.222795	0.224128	0.041087
C100002761	single_GRM	6923	0.445502	0.057681	6.6613e-16	63.902	-3441.433	-3473.384	0.447353	0.556802	1.004156	0.059566	0.057267	0.017266
C100002769	single_GRM	7032	0.192015	0.055623	0.00017517	12.78	-3497.01	-3503.4	0.191257	0.804794	0.996051	0.055734	0.05607	0.016845
C100002773	single_GRM	1733	0.236355	0.160953	0.059132	2.44	-844.479	-845.699	0.230371	0.74431	0.974681	0.157808	0.156559	0.033267
C100002784	single_GRM	6630	0.16695	0.059072	0.0023386	8	-3276.143	-3280.143	0.165131	0.823971	0.989102	0.058686	0.059247	0.017217
C100002796	single_GRM	7029	0.289926	0.056885	1.1518e-07	26.76	-3512.099	-3525.479	0.290899	0.712455	1.003354	0.057799	0.057095	0.017019
C100002849	single_GRM	3462	0.168016	0.099153	0.042238	2.977	-1737.881	-1739.369	0.168497	0.83437	1.002867	0.099697	0.100575	0.024131
C100002865	single_GRM	6030	0.273516	0.065099	1.1944e-05	17.851	-3002.258	-3011.184	0.273215	0.725684	0.998899	0.065704	0.065088	0.018281
C100002869	single_GRM	5819	0.183041	0.064167	0.001112	9.355	-2879.313	-2883.99	0.181304	0.809206	0.99051	0.063872	0.064324	0.018406
C100002871	single_GRM	7014	0.367727	0.05592	1.7986e-14	57.38	-3537.573	-3566.263	0.373451	0.642117	1.015568	0.05793	0.056474	0.017286
C100002873	single_GRM	6326	0.165492	0.062558	0.004479	6.831	-3101.972	-3105.387	0.162439	0.819111	0.98155	0.061663	0.06217	0.017492
C100002875	single_GRM	7048	0.174869	0.05632	0.00072521	10.141	-3494.792	-3499.862	0.173609	0.819186	0.992795	0.056192	0.056665	0.016765
C100002876	single_GRM	6798	0.181502	0.058564	0.00086272	9.821	-3384.283	-3389.194	0.180929	0.815915	0.996844	0.058685	0.059052	0.017144
C100002877	single_GRM	6588	0.162821	0.060394	0.0041268	6.978	-3296.562	-3300.051	0.16306	0.838407	1.001467	0.060736	0.061292	0.017488
C100002910	single_GRM	6990	0.144339	0.050421	0.00015758	12.978	-3492.167	-3498.656	0.144278	0.8553	0.999578	0.050585	0.051717	0.016932
C100002911	single_GRM	6913	0.096005	0.054917	0.034917	3.287	-3475.475	-3477.118	0.096507	0.908723	1.00523	0.055301	0.056676	0.017116
C100002912	single_GRM	1098	0.440558	0.239354	0.0321	3.425	-555.832	-557.544	0.445634	0.565887	1.011521	0.244718	0.240958	0.043397
C100002913	single_GRM	697	1e-06	0.302427	0.5	0	-344.757	-344.633	1e-06	0.955312	0.955313	0.288913	0.280962	0.052064
C100002927	single_GRM	7055	0.22405	0.050951	3.9666e-09	33.291	-3545.053	-3561.699	0.225663	0.781536	1.007198	0.051748	0.052006	0.017009
C100002945	single_GRM	7006	1e-06	0.054569	0.5	0	-3545.214	-3545.214	1e-06	1.010696	1.010697	0.055153	0.057348	0.01708
C100002951	single_GRM	7054	1e-06	0.054636	0.5	0	-3547.151	-3547.151	1e-06	1.00421	1.004211	0.054866	0.056973	0.016913
C100002952	single_GRM	6983	0.025369	0.054478	0.32264	0.212	-3532.238	-3532.344	0.025641	0.98509	1.010731	0.055074	0.057206	0.01711
C100002989	single_GRM	6619	0.358667	0.059589	1.2045e-10	40.103	-3296.708	-3316.76	0.359465	0.642758	1.002223	0.060814	0.059403	0.017555
C100002990	single_GRM	6642	0.370302	0.059603	4.7784e-11	41.91	-3321.841	-3342.796	0.372825	0.633987	1.006812	0.061176	0.05963	0.017613
C100003000	single_GRM	7040	0.019976	0.051869	0.34499	0.159	-3526.103	-3526.182	0.01999	0.980726	1.000717	0.051914	0.054186	0.016871
C100003001	single_GRM	7053	0.000378	0.053732	0.49727	0	-3545.207	-3545.207	0.000379	1.003822	1.004201	0.053958	0.056342	0.016913
C100003008	single_GRM	6707	0.232091	0.059661	3.8021e-05	15.654	-3278.241	-3286.068	0.227442	0.752526	0.979968	0.058936	0.058798	0.016987
C100003101	single_GRM	1196	1e-06	0.216034	0.5	0	-584.336	-584.336	1e-06	0.972138	0.972139	0.210015	0.213392	0.039766
C100003109	single_GRM	2067	0.048001	0.149388	0.37398	0.103	-1050.545	-1050.596	0.048663	0.965134	1.013797	0.151527	0.15303	0.031577
C100003119	single_GRM	6308	0.156342	0.059476	0.0017776	8.498	-3159.133	-3163.382	0.156681	0.845491	1.002172	0.05984	0.060589	0.017879
C100003151	single_GRM	7054	0.171941	0.055611	0.0008221	9.91	-3568.066	-3573.021	0.174129	0.838598	1.012727	0.056592	0.057138	0.017093
C100003169	single_GRM	5356	0.116119	0.067872	0.035477	3.261	-2679.844	-2681.475	0.116141	0.884051	1.000192	0.068021	0.06927	0.019348
C100003185	single_GRM	2654	0.004574	0.114052	0.48365	0.002	-1297.312	-1297.313	0.004461	0.970873	0.975335	0.111239	0.114354	0.026779
C100003239	single_GRM	4871	0.118581	0.072906	0.042618	2.962	-2387.218	-2388.699	0.116193	0.863668	0.979861	0.071587	0.072756	0.019879
C100003240	single_GRM	5820	0.11003	0.064768	0.042962	2.949	-2891.634	-2893.109	0.109288	0.883969	0.993257	0.064451	0.065689	0.018432
C100003258	single_GRM	7055	0.217468	0.054215	1.808e-06	21.458	-3509.857	-3520.586	0.216823	0.780211	0.997034	0.054466	0.054616	0.016841
C100003260	single_GRM	6854	0.217961	0.058075	8.1143e-05	14.224	-3396.512	-3403.624	0.216471	0.776692	0.993163	0.058104	0.058106	0.017026
C100003271	single_GRM	7051	0.433435	0.057527	2.115e-14	57.061	-3474.556	-3503.087	0.431272	0.563738	0.99501	0.058784	0.056612	0.016948
C100003397	single_GRM	7055	0.066567	0.050709	0.069612	2.187	-3541.729	-3542.822	0.066794	0.936614	1.003408	0.05093	0.052793	0.016904
C100003415	single_GRM	7055	0.915036	0.053129	0	264.122	-3461.715	-3593.776	0.936285	0.086937	1.023222	0.060961	0.053963	0.017925
C100003432	single_GRM	3805	0.206458	0.094087	0.013377	4.907	-1857.478	-1859.931	0.201907	0.776049	0.977955	0.092555	0.092111	0.022519
C100003434	single_GRM	6906	0.131228	0.056419	0.0085676	5.682	-3432.763	-3435.604	0.130483	0.863841	0.994324	0.056261	0.057232	0.016947
C100003470	single_GRM	6462	0.417213	0.061894	5.9798e-12	45.978	-3244.331	-3267.32	0.42231	0.589906	1.012215	0.064127	0.062065	0.017984
C100003473	single_GRM	2895	0.143283	0.112828	0.09458	1.724	-1429.313	-1430.175	0.141201	0.844263	0.985464	0.111349	0.112803	0.025916
C100003594	single_GRM	6807	0.146198	0.053412	0.00062019	10.429	-3409.081	-3414.296	0.14649	0.855508	1.001998	0.053711	0.054737	0.017201
C100003641	single_GRM	3605	0.100642	0.09299	0.12943	1.275	-1787.578	-1788.215	0.099663	0.890615	0.990278	0.092192	0.093785	0.02334
C100003645	single_GRM	456	1e-06	0.407952	0.5	0	-215.331	-215.331	1e-06	0.934891	0.934891	0.381391	0.38544	0.061979
C100003651	single_GRM	524	1e-06	0.378544	0.5	0	-257.948	-257.944	1e-06	0.96947	0.969471	0.366988	0.365657	0.060115
C100003674	single_GRM	3604	0.20902	0.092529	0.0054764	6.473	-1797.863	-1801.1	0.208495	0.788996	0.997491	0.092714	0.093085	0.023541
C100003678	single_GRM	4090	0.203747	0.088493	0.0095237	5.497	-2045.671	-2048.419	0.203923	0.796938	1.000861	0.08901	0.089056	0.022193
C100003679	single_GRM	3320	1e-06	0.083414	0.5	0	-1643.587	-1643.587	1e-06	0.988044	0.988045	0.082417	0.086079	0.024255
C100003686	single_GRM	7045	0.247261	0.056333	2.8359e-06	20.596	-3479.582	-3489.88	0.244945	0.745691	0.990636	0.056332	0.056087	0.016761
C100003695	single_GRM	7051	0.201407	0.054612	2.6762e-05	16.319	-3515.052	-3523.212	0.201142	0.797543	0.998685	0.054899	0.055191	0.016868
C100003892	single_GRM	4487	0.054949	0.080617	0.25129	0.449	-2276.789	-2277.014	0.055695	0.957888	1.013584	0.081755	0.083617	0.02141
C100003901	single_GRM	7038	0.113058	0.054221	0.013137	4.938	-3462.232	-3464.701	0.111242	0.872696	0.983938	0.053473	0.054666	0.016607
C100003926	single_GRM	6652	0.036641	0.057057	0.26277	0.403	-3321.043	-3321.245	0.036551	0.960978	0.997529	0.056934	0.058941	0.017303
C100004046	single_GRM	7037	0.306727	0.052886	3.3418e-14	56.158	-3513.861	-3541.94	0.307725	0.695529	1.003254	0.05384	0.053168	0.017003
C100004054	single_GRM	6313	0.069876	0.058159	0.10472	1.575	-3185.881	-3186.669	0.070475	0.938097	1.008572	0.058711	0.060479	0.017962
C100004056	single_GRM	3286	1e-06	0.094321	0.5	0	-1659.568	-1659.568	1e-06	1.007716	1.007717	0.095049	0.097868	0.024865
C100004059	single_GRM	6303	0.18339	0.061015	0.00097891	9.589	-3214.387	-3219.182	0.187243	0.833764	1.021006	0.062606	0.06309	0.018228
C100004083	single_GRM	3735	0.148767	0.096414	0.065219	2.287	-1881.766	-1882.91	0.149791	0.857091	1.006882	0.097318	0.098082	0.023334
C100004089	single_GRM	7055	0.117258	0.053761	0.0086035	5.675	-3531.122	-3533.96	0.117381	0.883671	1.001052	0.053951	0.055133	0.016876
C100004110	single_GRM	2863	0.184043	0.114488	0.048378	2.758	-1436.816	-1438.195	0.184662	0.8187	1.003363	0.115319	0.115403	0.026589
C100004111	single_GRM	7050	0.048365	0.054643	0.18874	0.779	-3491.837	-3492.226	0.047873	0.941959	0.989833	0.054116	0.055936	0.01668
C100004112	single_GRM	7036	0.243775	0.056001	2.154e-06	21.123	-3520.183	-3530.744	0.244595	0.758767	1.003362	0.056711	0.056504	0.016986
C100004169	single_GRM	1099	0.32716	0.239619	0.080961	1.956	-560.378	-561.356	0.333348	0.685565	1.018913	0.246054	0.242852	0.043724
C100004171	single_GRM	808	1e-06	0.298581	0.5	0	-408.673	-408.672	1e-06	1.001976	1.001977	0.299171	0.299671	0.049953
C100004182	single_GRM	5311	0.153977	0.070115	0.011857	5.115	-2665.183	-2667.74	0.154607	0.849482	1.00409	0.070662	0.071259	0.019528
C100004208	single_GRM	7051	0.131413	0.05375	0.004192	6.95	-3522.33	-3525.805	0.131328	0.868021	0.999349	0.053878	0.054919	0.016856
C100004227	single_GRM	6992	0.398482	0.057793	1.3598e-12	48.881	-3442.871	-3467.311	0.395572	0.597126	0.992698	0.058682	0.056874	0.016951
C100004243	single_GRM	3031	0.035457	0.105007	0.36518	0.119	-1529.975	-1530.035	0.035713	0.971513	1.007226	0.105769	0.108675	0.025877
C100004284	single_GRM	5987	0.034085	0.061168	0.28678	0.317	-3011.981	-3012.14	0.034258	0.970798	1.005056	0.061494	0.063642	0.018375
C100004295	single_GRM	6989	0.152546	0.055413	0.0017561	8.52	-3546.798	-3551.058	0.154944	0.86078	1.015724	0.056506	0.057273	0.017216
C100004299	single_GRM	6618	0.850592	0.055638	0	228.046	-3242.597	-3356.62	0.862796	0.151552	1.014348	0.062131	0.055821	0.018209
C100004318	single_GRM	5246	0.081231	0.068647	0.1073	1.54	-2572.425	-2573.195	0.079597	0.900278	0.979875	0.067328	0.069039	0.019142
C100004322	single_GRM	7043	0.132307	0.0531	0.0022618	8.061	-3530.227	-3534.258	0.132671	0.870075	1.002746	0.053411	0.054483	0.016922
C100004326	single_GRM	5012	1e-06	0.068274	0.5	0	-2535.014	-2535.013	1e-06	1.010065	1.010066	0.068961	0.071502	0.020182
C100004327	single_GRM	5919	1e-06	0.060916	0.5	0	-2893.604	-2893.603	1e-06	0.976579	0.97658	0.059489	0.061847	0.017954
C100004328	single_GRM	7055	0.273148	0.055482	6.7143e-08	27.803	-3481.524	-3495.426	0.270568	0.719985	0.990553	0.05559	0.055122	0.016759
C100004329	single_GRM	7052	0.355868	0.057246	7.84e-11	40.942	-3529.183	-3549.654	0.358444	0.648794	1.007239	0.058734	0.057333	0.017098
C100004396	single_GRM	5482	0.149876	0.067904	0.011764	5.129	-2711.3	-2713.864	0.14825	0.840897	0.989147	0.067376	0.068241	0.018921
C100004494	single_GRM	1143	0.370032	0.239516	0.064309	2.309	-584.785	-585.939	0.378482	0.644352	1.022834	0.247185	0.2436	0.043048
C100004499	single_GRM	5879	0.136664	0.06571	0.019611	4.251	-2971.431	-2973.557	0.138161	0.872794	1.010955	0.06662	0.067485	0.018677
C100004509	single_GRM	3598	0.020584	0.089787	0.40498	0.058	-1804.209	-1804.238	0.020602	0.980288	1.000891	0.089869	0.092768	0.023601
C100004523	single_GRM	7053	0.792441	0.053568	0	225.272	-3405.659	-3518.295	0.79004	0.20693	0.99697	0.058247	0.052657	0.017299
C100004541	single_GRM	6962	0.194534	0.056234	0.00012749	13.375	-3465.07	-3471.758	0.193922	0.802931	0.996853	0.056395	0.056713	0.016943
C100004542	single_GRM	6914	0.139016	0.054408	0.0022803	8.046	-3456.617	-3460.64	0.139046	0.861169	1.000215	0.0546	0.055585	0.017038
C100004552	single_GRM	7032	0.214326	0.056228	3.9689e-05	15.573	-3473.578	-3481.364	0.212171	0.777771	0.989941	0.056067	0.056151	0.016751
C100004555	single_GRM	4947	0.115103	0.073422	0.05691	2.5	-2447.785	-2449.035	0.113862	0.875356	0.989218	0.072782	0.073874	0.019917
C100004561	single_GRM	6669	0.216825	0.058304	4.2576e-05	15.44	-3291.693	-3299.413	0.214463	0.774645	0.989108	0.058086	0.058161	0.017185
C100004575	single_GRM	6537	0.334437	0.059423	1.6052e-09	35.052	-3272.575	-3290.101	0.336481	0.669629	1.006109	0.060725	0.059649	0.017707
C100004634	single_GRM	3375	0.288136	0.102383	0.0021488	8.154	-1676.047	-1680.124	0.286583	0.708026	0.994608	0.102669	0.101818	0.024305
C100004635	single_GRM	7035	0.510219	0.056469	0	88.588	-3431.923	-3476.217	0.504509	0.484301	0.98881	0.057917	0.055052	0.016915
C100005350	single_GRM	7053	0.202476	0.055606	5.964e-05	14.804	-3452.836	-3460.238	0.198622	0.782343	0.980966	0.054906	0.055132	0.016569
C100005351	single_GRM	7054	0.186779	0.054648	0.00011216	13.616	-3524.935	-3531.743	0.186916	0.813816	1.000731	0.055001	0.055439	0.016894
C100005352	single_GRM	7046	0.213674	0.05648	4.7661e-05	15.227	-3488.599	-3496.212	0.212008	0.780196	0.992205	0.056443	0.056519	0.016773
C100005353	single_GRM	6678	0.315207	0.059097	7.3193e-09	32.101	-3241.787	-3257.837	0.307646	0.668367	0.976013	0.058522	0.05755	0.016999
C100005367	single_GRM	2895	0.095392	0.114292	0.20082	0.703	-1470.625	-1470.976	0.0967	0.917012	1.013711	0.11592	0.118026	0.026651
C100005371	single_GRM	7005	0.271929	0.056797	3.36e-07	24.694	-3464.984	-3477.331	0.269969	0.722825	0.992794	0.057022	0.056515	0.016858
C100005372	single_GRM	7053	0.013039	0.049608	0.38917	0.079	-3531.682	-3531.722	0.013045	0.987369	1.000414	0.049633	0.0521	0.01685
C100005373	single_GRM	7055	0.021451	0.053274	0.34369	0.162	-3514.585	-3514.666	0.021351	0.97399	0.995341	0.053034	0.055203	0.016763
C100005383	single_GRM	6904	0.679379	0.05667	0	139.671	-3410.715	-3480.551	0.686631	0.324043	1.010674	0.060963	0.056338	0.01761
C100005384	single_GRM	7055	0.316641	0.056626	1.6821e-09	34.961	-3539.361	-3556.841	0.319275	0.689042	1.008317	0.057955	0.05698	0.017086
C100005389	single_GRM	2323	0.172514	0.135556	0.097297	1.682	-1164.628	-1165.469	0.172905	0.829362	1.002267	0.136391	0.135984	0.029522
C100005391	single_GRM	5340	0.133293	0.068427	0.021056	4.131	-2673.345	-2675.411	0.133463	0.867811	1.001275	0.06871	0.069614	0.019411
C100005396	single_GRM	4673	0.353654	0.080026	1.3734e-06	21.986	-2315.026	-2326.018	0.3515	0.642408	0.993908	0.080589	0.07934	0.020665
C100005402	single_GRM	3481	0.036489	0.091132	0.33685	0.177	-1749.777	-1749.865	0.036612	0.966755	1.003368	0.091455	0.094028	0.024056
C100005403	single_GRM	6885	0.397049	0.057167	2.6068e-13	52.123	-3436.123	-3462.184	0.399346	0.606439	1.005785	0.058803	0.057059	0.017296
C100005418	single_GRM	3875	0.447607	0.090864	8.568e-08	27.332	-1933.583	-1947.249	0.448601	0.553619	1.00222	0.092759	0.090548	0.022912
C100005466	single_GRM	7031	0.344747	0.056735	1.5388e-10	39.625	-3475.739	-3495.551	0.342892	0.651726	0.994618	0.057424	0.056179	0.0169
C100005673	single_GRM	6246	0.29753	0.060582	5.1139e-09	32.797	-3040.219	-3056.618	0.290826	0.686641	0.977467	0.059961	0.059283	0.017579
C100005714	single_GRM	6337	0.319729	0.060768	4.492e-09	33.05	-3119.723	-3136.248	0.31637	0.673125	0.989495	0.061016	0.059998	0.017689
C100005716	single_GRM	4427	0.305291	0.083454	0.00010064	13.819	-2198.045	-2204.954	0.303856	0.691443	0.995299	0.0839	0.083033	0.021245
C100005717	single_GRM	6267	0.125379	0.060291	0.015898	4.61	-3123.405	-3125.71	0.124956	0.871672	0.996628	0.060236	0.061351	0.017826
C100005814	single_GRM	2779	0.185701	0.111368	0.032129	3.424	-1380.983	-1382.694	0.184427	0.808713	0.99314	0.11101	0.111441	0.026695
C100005834	single_GRM	6241	0.022187	0.060891	0.36228	0.124	-3126.807	-3126.869	0.022206	0.978672	1.000878	0.060953	0.063105	0.017922
C100005850	single_GRM	6977	0.235201	0.057048	1.0044e-05	18.181	-3441	-3450.091	0.232595	0.756327	0.988922	0.0569	0.05675	0.01681
C100005864	single_GRM	6657	0.274453	0.058604	2.2228e-07	25.491	-3344.508	-3357.253	0.276706	0.731503	1.008209	0.059743	0.059228	0.017559
C100005972	single_GRM	2252	0.217527	0.136986	0.049748	2.714	-1137.95	-1139.307	0.219406	0.789229	1.008634	0.138612	0.139131	0.030094
C100005977	single_GRM	3724	0.143695	0.092593	0.058435	2.459	-1888.994	-1890.224	0.145638	0.867887	1.013526	0.09405	0.095138	0.023512
C100005985	single_GRM	7043	0.225615	0.056192	1.7826e-05	17.09	-3491.944	-3500.488	0.224232	0.769638	0.99387	0.056295	0.056264	0.016809
C100005986	single_GRM	6997	0.164362	0.056225	0.0014137	8.916	-3474.139	-3478.597	0.16336	0.830547	0.993907	0.056132	0.056724	0.016841
C100005996	single_GRM	6334	0.4862	0.060458	0	72.194	-3127.803	-3163.9	0.485602	0.513167	0.99877	0.062338	0.059653	0.017966
C100005998	single_GRM	5746	0.432632	0.065339	2.2748e-12	47.872	-2821.573	-2845.509	0.42855	0.562015	0.990565	0.066323	0.064121	0.018662
C100006005	single_GRM	6513	0.440711	0.059612	4.996e-16	64.429	-3178.967	-3211.181	0.434406	0.551288	0.985694	0.060357	0.058152	0.017459
C100006051	single_GRM	7055	0.096518	0.052515	0.020548	4.172	-3595.653	-3597.739	0.098374	0.920858	1.019232	0.05362	0.055104	0.017177
C100006056	single_GRM	5739	0.109294	0.064161	0.03799	3.149	-2907.097	-2908.671	0.110682	0.902014	1.012696	0.065096	0.066432	0.018924
C100006082	single_GRM	6214	0.323274	0.054555	0	74.611	-3136.201	-3173.506	0.327439	0.685446	1.012886	0.056065	0.05559	0.018238
C100006089	single_GRM	3337	1e-06	0.102725	0.5	0	-1636.906	-1636.906	1e-06	0.978987	0.978988	0.100566	0.102705	0.023979
C100006092	single_GRM	5289	0.022037	0.067258	0.36869	0.112	-2641.476	-2641.533	0.021983	0.975578	0.997562	0.067106	0.069283	0.019406
C100006094	single_GRM	2957	0.075707	0.1138	0.2587	0.419	-1482.284	-1482.493	0.075779	0.925182	1.000961	0.114032	0.115162	0.026074
C100006095	single_GRM	428	1e-06	0.413622	0.5	0	-221.293	-221.293	1e-06	1.023685	1.023686	0.423419	0.432723	0.07019
C100006098	single_GRM	7036	0.162446	0.05598	0.001703	8.576	-3516.441	-3520.729	0.162506	0.837863	1.000368	0.056246	0.056866	0.016903
C100006105	single_GRM	5278	0.034438	0.068881	0.30928	0.248	-2661.463	-2661.587	0.034687	0.972549	1.007236	0.069395	0.071579	0.019612
C100006106	single_GRM	397	1e-06	0.452535	0.5	0	-205.53	-205.471	1e-06	0.998209	0.99821	0.451725	0.44511	0.071127
C100006108	single_GRM	5685	0.044491	0.064607	0.24478	0.477	-2775.924	-2776.163	0.043412	0.932343	0.975756	0.063066	0.065014	0.018309
C100006115	single_GRM	7041	0.097572	0.053781	0.028742	3.609	-3487.122	-3488.926	0.096625	0.893672	0.990298	0.053354	0.054726	0.016707
C100006116	single_GRM	6758	0.164505	0.055529	0.00042818	11.115	-3369.98	-3375.537	0.164198	0.833937	0.998135	0.055675	0.05638	0.017206
C100006121	single_GRM	6882	1e-06	0.052925	0.5	0	-3403.719	-3403.719	1e-06	0.988048	0.988049	0.052293	0.054723	0.016846
C100006123	single_GRM	438	1e-06	0.435044	0.5	0	-216.388	-216.387	1e-06	0.975254	0.975255	0.424279	0.426078	0.066013
